word,vocab_rank,semantic_rank,zone,pc1,pc2
aac,1,63243,red,0.12748026431667078,0.05990759429829082
aachen,2,8737,red,0.025619529361645067,-0.05757056528726734
aad,3,66999,red,0.15135442236015909,-0.01076002247571858
aaf,4,32024,red,0.13802509906117152,-0.06938597768601008
aafc,5,45078,red,0.044964824988977484,0.006784286251865332
aafia,6,59641,red,0.13294389228846304,0.015202954334204436
aaj,7,19044,red,0.06865484645788529,0.03288166101100866
aalborg,8,15878,red,0.10523631314281365,-0.08399202230178024
aaliyah,9,51568,red,0.12486787616848073,-0.03858478005269729
aalto,10,8304,red,0.18265782823621624,-0.02589329003518156
aam,11,43889,red,0.15976694085841484,-0.007885623862245544
aamer,12,37543,red,0.10905913240859899,-0.046338244922238585
aamir,13,55766,red,0.12467701272201412,-0.055081612598531386
aamodt,14,20206,red,0.07965519656742122,-0.06848138894384438
aan,15,37267,red,0.17223337519869297,-0.05295324472576399
aap,16,69621,red,0.10805007573764104,-0.09582683922925397
aar,17,47775,red,0.18640225570811214,0.028740113019408986
aargau,18,19681,red,0.13236064976300063,0.06065969183352562
aarhus,19,23955,red,0.08833170011744451,-0.0646665921397333
aaron,20,18941,red,-0.118472616095971,-0.46632977276558013
aarp,21,35931,red,-0.02333425634879988,-0.036367705688362235
aas,22,67611,red,0.21776705409155797,0.03317488002765486
aau,23,63927,red,0.045751121924467515,-0.022661168421052726
aba,24,36205,red,-0.027920746751170657,-0.08938986177609055
ababa,25,15260,red,-0.08493114988177425,-0.09703090996743667
abac,26,51848,red,0.10104033106589336,-0.004399453894339648
abacha,27,39979,red,-0.06934786638854012,-0.09167887869709156
aback,28,26812,red,0.05058508424288734,0.04553486103413109
abaco,29,7560,red,0.14582837174493793,-0.050087346711265524
abacus,30,20814,red,0.12010103056750623,-0.004070367423629475
abad,31,60161,red,0.17884479007296405,-0.14707728331653125
abadia,32,53752,red,0.1014877561948626,-0.0700598714429032
abakan,33,34288,red,0.19002034454223124,0.050950640657252085
abalone,34,29269,red,0.07341492493163722,0.14049063013570792
abandon,35,9446,red,-0.4439713542315043,0.05470741697547561
abandoned,36,493,yellow,-0.4892035695397437,-0.07983239567997259
abandoning,37,18247,red,-0.32136041560014345,0.13153372052865087
abandonment,38,24787,red,-0.17150701015215383,0.15521726324914759
abandons,39,21054,red,0.019628708463783617,0.015656196966184744
abashidze,40,62052,red,0.0457173954986291,-0.05524224423708873
abate,41,20297,red,0.05950063360376558,-0.06255738939525704
abated,42,47928,red,-0.01421121226268291,0.14377297343344
abatement,43,33099,red,0.00006276487188226635,0.15135261801922406
abating,44,47330,red,0.031433097365692435,0.14467422701255397
abaya,45,42238,red,0.08468276920842925,-0.0385361515315973
abb,46,43689,red,0.03444728085698767,-0.07636033653172783
abba,47,57193,red,0.09410941569962962,-0.09135012757327364
abbas,48,30990,red,-0.28891182562447515,-0.1590388570100945
abbasi,49,52110,red,0.1859311888182642,-0.12735948524414262
abbasid,50,8525,red,0.06882356152889336,0.09009237134413456
abbate,51,66117,red,0.20061233650543053,-0.08848421493090015
abbe,52,59124,red,0.1638524503216549,-0.13354851429028786
abbess,53,35417,red,0.18434818919082846,-0.023772986879736727
abbeville,54,22808,red,0.20609682003732246,-0.060548974285247754
abbey,55,392,yellow,-0.15468063030251797,-0.21414960310534453
abbeys,56,13546,red,0.10296142006413517,0.131040614982989
abbiati,57,67017,red,0.12078812605154658,0.036104905913563794
abbie,58,65903,red,0.23664024107307094,-0.10628588984507234
abbot,59,3300,red,0.013734223881831903,-0.22425833257606215
abbots,60,20264,red,0.10293710575962486,0.03055586548284274
abbotsford,61,26056,red,0.10404469567668245,-0.006390748142454522
abbott,62,63157,red,-0.0944760015582147,-0.363169714762867
abbottabad,63,20460,red,0.11172971712102206,0.07242423216352448
abboud,64,69351,red,0.1606534971345963,-0.06355173982725701
abbreviated,65,37445,red,-0.1227140334858403,0.04086672825106694
abbreviation,66,13901,red,0.01489114535977649,0.06781525393075337
abbreviations,67,63902,red,0.023322536621101456,0.1942441956260008
abby,68,39153,red,0.08776865533168597,-0.2592440950267878
abc,69,8778,red,-0.33463163737488966,-0.23199025113341168
abcs,70,37741,red,0.11034034810536526,0.13221748590354956
abd,71,18019,red,0.051430536759051196,-0.1081335783469313
abdala,72,37297,red,0.15604059190288486,-0.01949032963567834
abdalla,73,59744,red,0.17799250119593815,-0.13334950842950116
abdallah,74,25026,red,0.054347998515178145,-0.19199687083560343
abdallahi,75,58291,red,0.11624076097904847,0.0038827250132081655
abdel,76,25538,red,-0.10750689525176232,-0.22547381998522012
abdelaziz,77,22453,red,0.07794437032831349,-0.09245955236588566
abdelghani,78,24382,red,0.16519719389484216,-0.08948139317712991
abdelhaleem,79,62430,red,0.25395581925465105,-0.12529251513037748
abdelkader,80,36926,red,0.2055312558932023,-0.06119670143168481
abdellah,81,25419,red,0.2165052904611311,-0.09536019184166086
abderraouf,82,66026,red,0.20591615699799407,0.0033277335882154952
abdi,83,25027,red,0.11028153849916755,-0.1710926978882394
abdic,84,49992,red,0.06391671687797096,-0.0013869428740951343
abdicate,85,51757,red,0.04377038579229106,-0.0036943370460018514
abdicated,86,57551,red,0.06042527939416615,-0.09152762096723699
abdication,87,46861,red,0.0005745246922179825,0.03461106051483216
abdirahman,88,44115,red,0.16427565834804578,-0.04806417517823977
abdollah,89,63758,red,0.1747186964049522,-0.02175012427779582
abdomen,90,34767,red,-0.06357262726640009,0.06180659383209765
abdominal,91,57064,red,-0.09292704260849718,0.07963096431430786
abdou,92,45202,red,0.23804236942830084,-0.07349522027146721
abdoulaye,93,20080,red,0.11641353109265931,-0.1671955828418161
abdu,94,29580,red,0.13942765151992337,-0.0705429146019119
abduct,95,57261,red,0.06308431196058537,-0.021428778774245504
abducted,96,13626,red,-0.18218355327182886,-0.21742648149944382
abductees,97,43065,red,-0.030890062971675004,0.013544445214962838
abducting,98,62496,red,0.008869515807677029,-0.022641509049176303
abduction,99,16850,red,-0.19667111403785492,-0.07322707581455902
abductions,100,61008,red,-0.1339639045127198,0.08240899230314615
abductor,101,69559,red,0.12836471792254353,0.05579459490639359
abductors,102,45850,red,-0.010744063692353131,0.004827324556757124
abdul,103,15903,red,-0.18879251416462814,-0.28045164308851067
abdulaziz,104,23181,red,0.14683566920469138,-0.1221688620403305
abdulkadir,105,23495,red,0.1571279250105032,-0.0485584227580905
abdulla,106,50244,red,0.17583505922167908,-0.1455973042951269
abdullah,107,41062,red,-0.2499282966609426,-0.21488223961457742
abdullahi,108,34910,red,0.10276726320081814,-0.14851282816162756
abdulmutallab,109,20551,red,-0.02639677947226581,-0.051304603699413656
abdulrahman,110,63234,red,0.23098083086337162,-0.10262028677834217
abdur,111,61365,red,0.06610752846453559,-0.1614742202018226
abdurahman,112,46152,red,0.2573942726592538,-0.11423997671827474
abdurrahman,113,58884,red,0.09910269952245407,-0.040233295298637804
abdus,114,65707,red,0.1524094502789311,-0.0965012449084307
abe,115,29635,red,-0.1304981583588559,-0.21287362388125666
abebe,116,62218,red,0.17182221280631138,-0.08123513321074656
abeche,117,19635,red,0.09578236286143066,0.05502198240370418
abed,118,58362,red,0.06394288644341041,-0.14075798297540149
abel,119,45423,red,0.03686379072696672,-0.3150271577982485
abelardo,120,62024,red,0.21824253069072658,-0.09847864511949851
abelian,121,57804,red,0.020860056494012503,0.09227751063164372
abell,122,23637,red,0.25190218329819447,-0.1113756958948911
abercrombie,123,33432,red,0.057652538080187166,-0.16220317885872979
aberdare,124,47913,red,0.13366228700078348,-0.0246705116842775
aberdeen,125,12036,red,-0.11530116326795138,-0.2216136461790723
aberdeenshire,126,7111,red,0.11335093060306965,-0.05779325681918461
aberle,127,60232,red,0.1493947660659523,-0.09709099093161673
abernathy,128,45648,red,0.19244577258154583,-0.17658728747164062
abernethy,129,35902,red,0.28462607196414214,-0.14852759563594156
aberrant,130,62525,red,0.0835083125320792,0.3309905396885657
aberration,131,49051,red,-0.016995202860956047,0.20678089506785927
aberrations,132,27530,red,0.10898081768574465,0.29910699899630205
aberystwyth,133,16291,red,0.12986289603430548,-0.017881176837038396
abet,134,42867,red,0.10137037028219786,0.11894572552181004
abetted,135,52858,red,0.06925549874522237,0.14820225541382173
abetting,136,44240,red,0.01676417191359549,0.06986318715534823
abeyance,137,26948,red,0.07272899911575666,0.0630475176739479
abhishek,138,63681,red,0.19171581202934115,-0.09186271363882133
abhisit,139,32154,red,-0.09660248332412161,-0.035496092827483526
abhor,140,69595,red,0.11677765529590733,0.23143340011147145
abhorrent,141,68821,red,0.06770388470836142,0.23370335721440774
abhors,142,69999,red,0.16866331311081462,0.1943235696632493
abi,143,35549,red,0.1890459010721505,-0.17540399068001372
abid,144,63978,red,0.2211782694596014,-0.15704662152148025
abidal,145,31637,red,0.1272361489428818,-0.05130413681546063
abide,146,42559,red,-0.23740987177913453,0.02862968604034012
abided,147,59741,red,0.06830787787406414,0.07677800938668128
abides,148,28069,red,0.08417983784009954,0.05872328101535909
abidin,149,56584,red,0.16656184620587305,-0.11096898309540293
abidine,150,50572,red,0.1039128446393372,-0.06295757013398862
abiding,151,68189,red,-0.15029396371129256,0.16715950278993108
abidjan,152,7410,red,-0.058901543103975496,-0.05599023984418682
abierto,153,51427,red,0.11784206850449629,-0.03989423764293741
abigail,154,57890,red,0.13158559459649338,-0.22767803308621654
abilene,155,15084,red,0.10065792106601187,-0.12363313937664143
abilities,156,22528,red,-0.3316199299349569,0.11994379739739064
ability,157,7456,red,-0.5999264967043326,0.12670823870259193
abimael,158,25813,red,0.06503391147744586,-0.0259700455036433
abingdon,159,26359,red,0.14915989781529634,-0.0479085059512571
abington,160,23631,red,0.11410858366010496,-0.08655188667089675
abiola,161,42091,red,0.03655413051745379,-0.108907220605685
abitibi,162,25585,red,0.10802942437724017,-0.0015012299125855173
abizaid,163,53244,red,0.05621262605799394,-0.12504983935019645
abject,164,50559,red,-0.04110372336409582,0.1997222939757652
abkhaz,165,33551,red,0.014940487101244652,0.07567732082350842
abkhazia,166,31247,red,-0.14781302048261621,0.027129172774388494
abkhazian,167,45522,red,0.00907965127625989,0.007217358964644073
abl,168,33635,red,0.10921790387953365,0.012671070010933986
ablation,169,53986,red,0.09833853873374641,0.1787782843775445
ablaze,170,4500,red,-0.10977083563660187,0.05058570166603181
able,171,1906,red,-0.7027048570288221,-0.035587750609283285
ably,172,59661,red,0.09500490505992033,0.04931671939121435
abm,173,34242,red,-0.024888443955523726,0.07762538304994271
abn,174,12610,red,-0.04011727746261524,-0.18468072240175165
abner,175,50385,red,0.1597993967899172,-0.17000398130131633
abney,176,17117,red,0.0682098696901781,-0.0037413989351302475
abnormal,177,52856,red,-0.18770491417967633,0.26944984739757744
abnormalities,178,59101,red,-0.04237329094423978,0.2235002793607081
abnormality,179,64241,red,0.03212931388893469,0.21975705244552224
abnormally,180,35651,red,-0.037229198401630394,0.19785567216315209
aboard,181,2982,red,-0.33770868335193677,-0.1946037252055028
abode,182,16449,red,-0.02157594017316227,0.09960009711481571
abolish,183,31765,red,-0.19364867688606807,0.07507028505182461
abolished,184,18487,red,-0.2133177757930363,-0.048785877333352975
abolishing,185,42220,red,-0.11268899060488256,0.10386477254857422
abolishment,186,43997,red,0.11862254516575364,0.17205454225032357
abolition,187,24419,red,-0.19936554920912303,0.04380053214247513
abolitionist,188,51312,red,0.005468228039413857,-0.050040566957162774
abolitionists,189,37086,red,0.07325956566827183,0.07845578823938337
abominable,190,64867,red,0.09561603360329568,0.19353654862489075
abomination,191,46656,red,0.1717460360201908,0.2028762773150709
aboriginal,192,45631,red,-0.23117616067989957,-0.03927402947765108
aboriginals,193,68945,red,0.06265174157116411,0.1585534114720979
aborigine,194,65143,red,0.11160377705057811,0.03364224915026806
aborigines,195,64514,red,-0.11301476653864057,0.04332914323048625
abort,196,35786,red,-0.058134342860777934,0.11044693933220713
aborted,197,10919,red,-0.1561737428854898,0.013126316783018056
abortion,198,26608,red,-0.35675585352938294,-0.02788265488760049
abortions,199,57642,red,-0.22697722563260164,0.021341246664464263
abortive,200,25826,red,-0.08173147380349946,-0.02519730101272168
abou,201,55363,red,0.15869355467053936,-0.13447360774898529
aboul,202,41935,red,0.13317312586596694,0.03446341416912215
abound,203,34332,red,-0.14967060596249046,0.27573163920780974
abounded,204,60078,red,0.08085118643360566,0.2180862605476163
abounds,205,57099,red,0.053277205363831244,0.28855878065216345
about,206,1846,red,-0.6441814742019413,-0.07148798915006263
above,207,123,green,-0.5520529698666707,0.029736138171007214
abra,208,48464,red,0.22723824337013826,-0.059179711879658585
abraham,209,7886,red,-0.13134434084735386,-0.3404757321818554
abrahams,210,62006,red,0.19781228869915235,-0.1860737011766261
abram,211,54995,red,0.21506328409220996,-0.19259572114205548
abramoff,212,27100,red,-0.04724544613851645,-0.16404233047761374
abramovich,213,34443,red,0.028213300882659616,-0.11278382533920506
abramowitz,214,57603,red,0.15764841866115784,-0.07092528094789877
abrams,215,31388,red,-0.029600593464607448,-0.2892074077961653
abramson,216,55162,red,0.154500893093381,-0.18115813698383987
abrasion,217,57872,red,0.10042996208386017,0.22123283640085234
