word,vocab_rank,semantic_rank,zone,pc1,pc2
ใน,1,3372,red,-0.9801889203325562,0.13496375632055763
และ,2,25186,red,-0.9483968285926313,0.10013175989612805
ที่,3,11144,red,-0.9930926833750505,0.05208045222427584
ของ,4,24688,red,-0.8994776458557969,0.13017185413766968
เป็น,5,40527,red,-0.9232631299647922,0.17707802293386848
มี,6,6084,red,-0.9195484555470329,0.023607450336613784
การ,7,15059,red,-0.9283143101160785,-0.08774925610405665
ได้,8,21952,red,-0.9641538217766007,0.12355073947251927
โดย,9,26890,red,-0.8908063359481833,0.18667340331467616
กับ,10,34799,red,-0.8144161489463962,0.1992731413660486
ว่า,11,22829,red,-0.8105883342560015,0.13766056419280007
จาก,12,26913,red,-0.833059666024618,0.10364702990865664
ซึ่ง,13,16180,red,-0.9856924842287895,0.1780393336652714
ปี,14,9825,red,-0.8474098395279178,0.24388394121562687
จะ,15,1291,yellow,-0.9304910812890707,-0.024452534963379725
ให้,16,24619,red,-0.8929172207662575,0.02952707044193369
ไม่,17,20131,red,-0.8899762315158677,-0.08350767155837567
ไป,18,31276,red,-0.8439366807113172,0.07978379472112936
พุทธศักราช,19,9235,red,-0.7271034537934821,0.24122354737858748
เมื่อ,20,6748,red,-0.894770603828376,0.1997381472487986
คริสต์ศักราช,21,8733,red,-0.7120976429359548,0.2819085197240856
มา,22,30693,red,-0.8479661179652429,0.2313163615923361
เขา,23,40887,red,-0.8514719668250267,0.09583032072756398
นี้,24,16155,red,-1.0078334674631966,0.06220339994006366
หรือ,25,28206,red,-0.751178998794356,0.09697341193332436
อยู่,26,2150,red,-0.8560129201988579,0.07606831863002493
ถูก,27,33489,red,-0.837399445249389,0.14406747599051406
วันที่,28,7019,red,-0.7604441981671385,0.2910733020336054
ใช้,29,28025,red,-0.8478424708815222,0.022285979333652686
พระ,30,25011,red,-0.6411383347424282,0.22411300232546075
คือ,31,5960,red,-0.8466785276438503,0.20656143100769778
แต่,32,15224,red,-0.9444040922147214,0.01246072067978892
ก็,33,8457,red,-0.8915965221334389,0.07505774581706955
ด้วย,34,42010,red,-0.835228594370919,-0.042393955163553314
คน,35,47003,red,-0.8059581338452989,0.08708984925727599
ได้รับ,36,20593,red,-0.8168167467860024,0.18035154266636896
เพื่อ,37,22967,red,-0.8370800966515208,-0.03806149700878456
อย่าง,38,10807,red,-0.8532573024376764,-0.051372474267739686
ยัง,39,23927,red,-0.9694613594076266,0.13330343305106684
แห่ง,40,31737,red,-0.6962987311448745,0.29099813240050826
ขึ้น,41,12390,red,-0.8323441246587454,0.12319455208735763
ประเทศ,42,9271,red,-0.7791729062285556,0.20319118228418737
ทาง,43,13695,red,-0.7877605601720806,0.06977127766382585
จึง,44,11574,red,-0.864665741262335,0.07323781463223406
เมือง,45,17953,red,-0.6845097729213692,0.32294480262806763
ผู้,46,46896,red,-0.7881971229149664,0.12325522707035395
สามารถ,47,27583,red,-0.8494404797994327,0.03818648316299819
นั้น,48,8534,red,-0.9614728128782912,0.053255599224396134
ถึง,49,441,yellow,-0.81887655065614,0.06157086103958969
ทำให้,50,11862,red,-0.8929685684737065,0.03267401789147185
เธอ,51,33318,red,-0.7168799483608828,0.0934471401423733
ชื่อ,52,42898,red,-0.7279679643201628,0.37153454437267047
สร้าง,53,34065,red,-0.7922393557793086,0.10784791832571688
หนึ่ง,54,27235,red,-0.9217105159362519,0.10712291568654725
ไทย,55,5915,red,-0.7372181245094831,0.043138865740735804
แล้ว,56,10828,red,-0.8904034009045976,0.014391461149887937
ต่อ,57,14784,red,-0.7732614708881749,0.025785028816604126
ชาว,58,34152,red,-0.6884352338880646,0.22786989732375962
แบบ,59,26375,red,-0.6879161065039312,0.005857934613337634
กัน,60,11422,red,-0.7568174268502273,0.05928760976639777
ระหว่าง,61,1485,yellow,-0.8261169658663,0.09356907302590975
เรื่อง,62,33481,red,-0.6809559585472189,0.08637552453767051
เดือน,63,92,green,-0.7382408879416439,0.2289814783301439
ต่อมา,64,26608,red,-0.889894981368822,0.28555925557966827
จังหวัด,65,14339,red,-0.5909563208021463,0.3067814204904489
ทรง,66,20162,red,-0.6650720085967238,0.12757033052294428
ตาม,67,15433,red,-0.8018501557285064,0.03371071118406798
สำหรับ,68,23031,red,-0.8038967540590494,-0.004996843311585564
เกิด,69,9998,red,-0.6760965018567054,0.2187713876871669
ทีม,70,30880,red,-0.6073229977801321,0.2377377190876709
ออก,71,11159,red,-0.7610445852570275,0.09628376831980354
ทั้ง,72,17079,red,-0.9018613753813102,-0.01256855367612294
แรก,73,33670,red,-0.8439416118315425,0.22393967797503264
ช่วง,74,40,green,-0.7850045987964235,0.10779072582220423
อีก,75,24063,red,-0.910441777949531,0.05751090565251559
เช่น,76,39998,red,-0.7804544540644498,0.07229120155747108
มาก,77,2754,red,-0.8629158879708528,-0.06206038247755767
กลุ่ม,78,41407,red,-0.7151976281777914,0.1390758514210989
ต้อง,79,16697,red,-0.8014862730626878,-0.0809210588282997
อำเภอ,80,13267,red,-0.5437994495703352,0.3152814673123808
ความ,81,21468,red,-0.7436148523250554,-0.11611527377672412
เพลง,82,19760,red,-0.5311300577177035,0.16258307204600606
ริ,83,42040,red,-0.5995601330137902,0.5414822913090115
ส่วน,84,9389,red,-0.8657069189885377,0.12367660164669053
